Accel_X,Accel_Y,Accel_Z
108,3973,-15576
75,3945,-15560
125,3957,-15524
137,3927,-15478
140,3965,-15523
169,3980,-15522
192,4001,-15514
217,4034,-15532
233,4007,-15508
208,4004,-15508
201,4006,-15508
169,3970,-15525
126,3950,-15549
104,3954,-15575
96,3944,-15563
83,3958,-15559
120,3967,-15525
134,3979,-15495
138,4019,-15499
179,4019,-15500
206,4018,-15508
199,4003,-15537
220,3997,-15539
173,3980,-15550
164,3955,-15539
163,3947,-15518
108,3941,-15508
116,3953,-15530
143,3968,-15531
102,3975,-15538
142,4014,-15553
156,4026,-15520
161,4008,-15541
197,4019,-15531
181,3999,-15507
188,3974,-15524
194,3979,-15527
151,3953,-15526
162,3979,-15549
154,3959,-15531
126,3936,-15541
140,3978,-15554
128,3990,-15494
134,4004,-15525
175,4018,-15505
180,3993,-15502
165,4008,-15522
207,4004,-15524
163,3971,-15537
175,3974,-15558
173,3959,-15517
136,3948,-15540
149,3955,-15532
132,3954,-15507
121,3992,-15541
132,3991,-15521
129,3995,-15533
142,4017,-15543
164,4009,-15513
141,3986,-15522
176,3982,-15528
183,3965,-15523
165,3959,-15535
167,3951,-15526
157,3958,-15545
137,3960,-15538
159,3980,-15523
147,3988,-15513
139,3998,-15507
152,4029,-15513
137,4009,-15512
139,4004,-15523
163,4007,-15539
161,3977,-15527
165,3973,-15539
150,3967,-15520
163,3965,-15518
176,3979,-15534
156,3956,-15519
165,3989,-15533
192,3988,-15527
151,3978,-15520
169,4011,-15536
157,4003,-15511
131,3993,-15498
172,3984,-15536
151,3968,-15512
136,3969,-15549
157,3957,-15562
147,3945,-15551
178,3977,-15536
145,3965,-15525
157,3977,-15520
145,4005,-15556
161,3975,-15542
177,4018,-15530
139,3981,-15518
159,3976,-15551
148,3973,-15537
148,3962,-15516
151,3972,-15519
166,3983,-15526
142,3973,-15538
143,3990,-15530
143,3983,-15527
163,4006,-15567
165,4008,-15537
150,3994,-15518
156,3999,-15517
155,3976,-15514
149,3981,-15535
169,3967,-15523
147,3946,-15526
165,3981,-15555
168,3957,-15534
144,3968,-15544
175,3998,-15535
156,3984,-15518
165,4008,-15518
142,3997,-15488
161,3982,-15507
170,3985,-15530
168,3969,-15521
167,3972,-15538
181,3966,-15530
147,3964,-15534
153,3982,-15549
158,3969,-15507
154,3983,-15522
161,3998,-15524
165,3980,-15521
157,3989,-15526
149,3975,-15522
155,3986,-15531
148,3989,-15544
164,3977,-15517
179,3962,-15518
143,3971,-15530
160,3976,-15517
170,3973,-15535
177,3974,-15544
175,3978,-15521
171,3990,-15525
168,3998,-15526
160,3979,-15528
123,3990,-15536
146,3982,-15524
138,3979,-15536
158,3986,-15527
158,3969,-15524
146,3972,-15536
158,3984,-15529
179,3972,-15518
166,3985,-15519
167,3990,-15525
161,3986,-15515
156,3995,-15536
170,3985,-15531
146,3970,-15535
157,3979,-15533
156,3973,-15520
140,3968,-15520
151,3981,-15526
163,3973,-15533
182,3973,-15523
165,3981,-15533
157,3970,-15547
148,3989,-15546
155,3987,-15549
126,3978,-15511
138,4002,-15537
148,3980,-15527
159,4001,-15538
162,4002,-15537
158,3979,-15520
168,3985,-15548
183,3976,-15522
174,3975,-15510
150,3979,-15499
168,3966,-15526
170,3974,-15519
163,3985,-15502
148,3986,-15506
144,3977,-15528
132,3978,-15543
153,3987,-15509
154,3988,-15512
132,3999,-15523
166,3999,-15535
147,3987,-15491
167,4002,-15507
161,3981,-15533
152,3982,-15538
164,3994,-15528
161,3980,-15518
147,3989,-15532
155,3987,-15529
144,3979,-15495
159,3983,-15529
161,3997,-15511
146,3969,-15538
183,3981,-15543
164,3982,-15518
153,3976,-15534
168,3991,-15535
153,3970,-15493
153,3988,-15539
144,3996,-15514
140,3981,-15517
144,3999,-15524
144,3977,-15513
146,3983,-15527
152,3988,-15524
166,3981,-15511
152,3985,-15519
155,3992,-15519
169,3981,-15525
138,3987,-15535
153,3989,-15528
154,3979,-15532
158,3985,-15526
157,3974,-15524
140,3975,-15514
147,3966,-15526
170,3979,-15520
148,3978,-15528
175,3992,-15536
168,3984,-15521
127,3992,-15522
185,4005,-15538
153,3973,-15499
150,3985,-15527
160,3978,-15530
144,3987,-15517
169,3975,-15539
156,3982,-15520
163,3964,-15531
159,3996,-15527
165,3986,-15516
163,3988,-15520
161,3980,-15512
153,3993,-15509
170,3979,-15523
151,3989,-15541
170,3986,-15552
142,3988,-15542
138,3974,-15536
143,3970,-15524
152,3983,-15522
180,3980,-15506
156,3992,-15515
157,3987,-15530
181,3992,-15539
146,3990,-15517
148,3999,-15532
139,3974,-15513
135,3966,-15509
157,3988,-15525
149,3960,-15519
146,3977,-15538
154,3971,-15550
162,3960,-15540
158,3983,-15537
166,3989,-15524
162,3995,-15505
145,3987,-15519
149,3998,-15504
167,3966,-15519
151,3982,-15531
154,3980,-15528
140,3988,-15544
133,3977,-15533
146,3967,-15514
153,3985,-15518
161,3985,-15506
173,3982,-15518
159,4000,-15530
170,3981,-15536
164,3983,-15543
167,4002,-15533
140,3981,-15523
112,4005,-15524
158,3989,-15523
145,3969,-15518
127,3994,-15511
159,3962,-15513
143,3985,-15526
172,3975,-15527
176,3974,-15518
158,3982,-15530
174,3975,-15524
172,3985,-15526
180,3975,-15525
167,3974,-15542
151,3984,-15530
146,3978,-15531
140,3963,-15535
141,3989,-15522
127,3984,-15509
121,3996,-15524
150,3994,-15505
159,3992,-15521
142,3991,-15547
178,3980,-15531
147,3975,-15534
154,3981,-15507
163,3972,-15522
148,3949,-15528
166,3947,-15522
163,3961,-15530
154,3984,-15537
171,3997,-15528
156,3998,-15527
158,4011,-15521
142,4000,-15507
150,3999,-15503
137,3995,-15522
160,3981,-15528
165,3981,-15529
163,3979,-15536
162,3973,-15542
148,3970,-15530
158,3981,-15533
185,3975,-15519
171,3981,-15529
149,3989,-15518
159,3996,-15516
150,3989,-15533
150,3967,-15523
148,3980,-15530
148,3981,-15514
151,3976,-15533
168,3962,-15510
163,3969,-15516
161,3959,-15537
165,3977,-15541
145,3985,-15527
158,3993,-15531
150,3995,-15517
145,3984,-15532
159,3979,-15529
155,3989,-15527
155,3963,-15536
159,3965,-15525
150,3966,-15529
146,3973,-15539
162,3982,-15516
157,3987,-15541
156,3974,-15521
160,3988,-15523
168,3998,-15522
160,3982,-15503
155,3995,-15513
143,3983,-15512
143,3972,-15523
171,3991,-15540
147,3983,-15515
148,3973,-15537
160,3960,-15522
177,3970,-15520
169,3970,-15528
174,3986,-15520
179,3977,-15528
144,3966,-15508
157,4003,-15516
160,3986,-15529
129,3972,-15523
149,3979,-15515
148,3974,-15520
133,3991,-15516
165,3972,-15525
147,3967,-15515
166,3984,-15539
166,3963,-15527
165,3977,-15522
163,3996,-15527
148,3978,-15512
131,3979,-15534
159,3986,-15529
163,3962,-15517
165,3987,-15533
147,3978,-15524
157,3979,-15523
152,3987,-15537
149,3967,-15516
148,3975,-15525
150,3979,-15517
146,3994,-15510
160,3992,-15528
155,3986,-15518
172,3970,-15530
175,3977,-15513
171,3966,-15533
156,3975,-15520
142,3975,-15525
157,3965,-15507
163,3985,-15518
158,3989,-15521
155,3985,-15538
160,3965,-15527
160,3994,-15514
148,3968,-15516
122,3971,-15507
159,3998,-15532
159,3983,-15523
139,3995,-15523
177,4001,-15536
143,3991,-15513
149,3982,-15528
159,3993,-15522
154,3964,-15524
156,3970,-15517
171,3981,-15522
163,3979,-15516
162,3962,-15538
151,3983,-15527
152,3977,-15531
157,3992,-15531
152,3981,-15525
145,3980,-15519
156,3997,-15531
164,3979,-15502
164,3974,-15539
184,3974,-15530
176,3960,-15514
161,3988,-15529
154,3988,-15524
154,3966,-15525
148,4000,-15541
150,3971,-15513
127,3977,-15536
142,3969,-15527
166,3963,-15518
148,3980,-15528
162,3976,-15512
165,3980,-15514
153,3983,-15541
157,3981,-15520
161,3983,-15522
156,3984,-15529
178,3970,-15523
143,3958,-15529
163,3983,-15528
141,3976,-15527
158,3965,-15518
154,3977,-15522
148,3980,-15521
150,3965,-15520
164,3986,-15534
146,3985,-15525
150,3987,-15534
150,3990,-15523
